Product,Price,Description,Url
"
Fractal Design Define C, ATX -kotelo, musta
","89,90 
                                        ","Suorituskykyä ilman rajoituksia!  
                                        ",jimms.fi/fi/Product/Show/124785/fd-ca-def-c-bk/fractal-design-define-c-atx-kotelo-musta
"
Fractal Design Focus G, ikkunallinen ATX -kotelo, musta
","55,90 
                                        ","Ajattoman tyylikäs Focus G -koteloperhe tarjoaa komponenteillesi verrattoman kodin!  
                                        ",jimms.fi/fi/Product/Show/131843/fd-ca-focus-bk-w/fractal-design-focus-g-ikkunallinen-atx-kotelo-musta
"
SilentiumPC Armis AR1, ATX-miditornikotelo, musta
","24,90 
                                        ","Kompakti kotelovaihtoehto toimittaa erinomaista vastinetta rahoillesi!  
                                        ",jimms.fi/fi/Product/Show/143281/spc173/silentiumpc-armis-ar1-atx-miditornikotelo-musta
"
Fractal Design Define R6 USB-C - Blackout - Tempered Glass, ikkunallinen E-ATX-tornikotelo, musta
","169,90 
                                        ","Ainoastaan mielikuvituksesi on rajana!  
                                        ",jimms.fi/fi/Product/Show/144260/fd-ca-def-r6c-bko-tgl/fractal-design-define-r6-usb-c-blackout-tempered-glass-ikkunallinen-e-atx-tornikotelo-musta
"
SilentiumPC Signum SG1 TG, ikkunallinen ATX-miditornikotelo, musta
","41,90 
                                        ","Kompakti kotelo edullisempaan hintapointtiin!  
                                        ",jimms.fi/fi/Product/Show/150222/spc230/silentiumpc-signum-sg1-tg-ikkunallinen-atx-miditornikotelo-musta
"
Fractal Design Define R6 - Black, ATX-kotelo, musta
","144,90 
                                        ","Ainoastaan mielikuvituksesi toimii rajana!  
                                        ",jimms.fi/fi/Product/Show/137243/fd-ca-def-r6-bk/fractal-design-define-r6-black-atx-kotelo-musta
"
NZXT H510, ikkunallinen ATX-miditornikotelo, mattavalkoinen/musta
","88,90 
                                        ","Ikoninen H-sarja on nyt entistä ehompi!  
                                        ",jimms.fi/fi/Product/Show/151666/ca-h510b-w1/nzxt-h510-ikkunallinen-atx-miditornikotelo-mattavalkoinen-musta
"
Lian Li PC-O11 Dynamic, ikkunallinen E-ATX -miditornikotelo, valkoinen/musta
","136,90 
                                        ","Jäähdytykseen keskittynyt variantti!  
                                        ",jimms.fi/fi/Product/Show/140776/pc-o11dw/lian-li-pc-o11-dynamic-ikkunallinen-e-atx-miditornikotelo-valkoinen-musta
"
SilentiumPC Regnum RG4T Tempered Glass, ikkunallinen ATX-miditornikotelo, musta
","45,00 
                                        ","Harvoin saa rahoilleen näin hyvää vastinetta, ilmanvirtauksesta puhumattakaan!  
                                        ",jimms.fi/fi/Product/Show/137724/spc178/silentiumpc-regnum-rg4t-tempered-glass-ikkunallinen-atx-miditornikotelo-musta
"
SilentiumPC Signum SG1X TG RGB, ikkunallinen ATX-miditornikotelo, musta
","64,90 
                                        ","Kompakti kotelo edullisempaan hintapointtiin!  
                                        ",jimms.fi/fi/Product/Show/150240/spc233/silentiumpc-signum-sg1x-tg-rgb-ikkunallinen-atx-miditornikotelo-musta
"
Kolink Observatory RGB, ikkunallinen miditornikotelo, musta
","73,90 
                                        ","Tyylikäs kotelovaihtoehto, joka tarjoaa mm. RGB-valaistuksen sekä karkaistusta lasista valmistetun sivupaneelin!  
                                        ",jimms.fi/fi/Product/Show/139979/observatory-rgb/kolink-observatory-rgb-ikkunallinen-miditornikotelo-musta
"
Kolink Castle, ikkunallinen miditornikotelo, musta
","47,90 
                                        ","Linjakas muuri kokoonpanollesi! | Karkaistusta lasista valmistettu sivupaneeli!  
                                        ",jimms.fi/fi/Product/Show/153291/castle/kolink-castle-ikkunallinen-miditornikotelo-musta
"
Phanteks Eclipse P400A, ikkunallinen miditornikotelo, sis. tuuletinkontrollerin, musta
","64,90 
                                        ","Suorituskykyinen ja näyttävä kotelouutuus! | Sis. tuuletinkontrollerin + 2 kpl laitetuulettimia  
                                        ",jimms.fi/fi/Product/Show/153227/ph-ec400atg-bk01/phanteks-eclipse-p400a-ikkunallinen-miditornikotelo-sis-tuuletinkontrollerin-musta
"
Lian Li PC-O11 Dynamic, ikkunallinen E-ATX -miditornikotelo, musta
","136,90 
                                        ","Jäähdytykseen keskittynyt variantti!  
                                        ",jimms.fi/fi/Product/Show/140775/pc-o11dx/lian-li-pc-o11-dynamic-ikkunallinen-e-atx-miditornikotelo-musta
"
Kolink Tranquility -miditornikotelo, musta
","52,90 
                                        ","Saavuta tyyneys Kolinkin avulla!  
                                        ",jimms.fi/fi/Product/Show/156610/tranquility/kolink-tranquility-miditornikotelo-musta
"
SilentiumPC Signum SG1M TG, ikkunallinen ATX-miditornikotelo, musta
","39,90 
                                        ","Kompakti kotelo edullisempaan hintapointtiin!  
                                        ",jimms.fi/fi/Product/Show/150223/spc232/silentiumpc-signum-sg1m-tg-ikkunallinen-atx-miditornikotelo-musta
"
SilentiumPC Signum SG1, ATX-miditornikotelo, musta
","33,90 
                                        ","Kompakti kotelo edullisempaan hintapointtiin!  
                                        ",jimms.fi/fi/Product/Show/150221/spc229/silentiumpc-signum-sg1-atx-miditornikotelo-musta
"
Lian Li O11 Dynamic XL | ROG Certified, ikkunallinen E-ATX -kotelo, musta
","209,90 
                                        ","Nerokas päivitys O11D:lle!  
                                        ",jimms.fi/fi/Product/Show/154081/o11dxl-x/lian-li-o11-dynamic-xl-rog-certified-ikkunallinen-e-atx-kotelo-musta
"
NZXT H510, ikkunallinen ATX-miditornikotelo, mattamusta/musta
","88,90 
                                        ","Ikoninen H-sarja on nyt entistä ehompi!  
                                        ",jimms.fi/fi/Product/Show/151665/ca-h510b-b1/nzxt-h510-ikkunallinen-atx-miditornikotelo-mattamusta-musta
"
Phanteks P500A D-RGB WHITE, ikkunallinen miditornikotelo, valkoinen/musta
","134,90 
                                        ","Miditornien todellinen voimanpesä!  
                                        ",jimms.fi/fi/Product/Show/163499/ph-ec500atg_dwt01/phanteks-p500a-d-rgb-white-ikkunallinen-miditornikotelo-valkoinen-musta
