Brand,Product,Price,Description,Url
AMD,"
 Ryzen 5 3600, AM4, 3.6 GHz, 6-core
","214,90 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/152213/100-100000031box/amd-ryzen-5-3600-am4-3_6-ghz-6-core
AMD,"
 Ryzen 7 3700X, AM4, 3.6GHz, 8-core
","349,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/152215/100-100000071box/amd-ryzen-7-3700x-am4-3_6ghz-8-core
Intel,"
 Core i7-10700K, LGA1200, 3.80 GHz, 16MB, Boxed
","409,90 
                                        ",,https://jimms.fi/fi/Product/Show/161265/bx8070110700k/intel-core-i7-10700k-lga1200-3_80-ghz-16mb-boxed
Intel,"
 Coffee Lake Core i5-9600K, LGA1151, 3.70 GHz, boxed
","229,90 
                                        ",,https://jimms.fi/fi/Product/Show/144781/bx80684i59600k/intel-coffee-lake-core-i5-9600k-lga1151-3_70-ghz-boxed
Intel,"
 Core i5-10600K, LGA1200, 4.10 GHz, 12MB, Boxed
","289,90 
                                        ",,https://jimms.fi/fi/Product/Show/161261/bx8070110600k/intel-core-i5-10600k-lga1200-4_10-ghz-12mb-boxed
Intel,"
 Core i9-10900K - Marvel's Avengers Collector's Edition, LGA1200, 3.70 GHz, 20MB, Boxed
","569,90 
                                        ",,https://jimms.fi/fi/Product/Show/164143/bx8070110900ka/intel-core-i9-10900k-marvel-s-avengers-collector-s-edition-lga1200-3_70-ghz-20mb-boxed
AMD,"
 Ryzen 9 3900XT, AM4, 3.8GHz, 12-core
","509,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/163119/100-100000277wof/amd-ryzen-9-3900xt-am4-3_8ghz-12-core
AMD,"
 Ryzen 5 2600, AM4, 3.4 GHz, 6-core
","149,00 
                                        ","2. sukupolven Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/139591/yd2600bbafbox/amd-ryzen-5-2600-am4-3_4-ghz-6-core
Intel,"
 Coffee Lake Core i7-9700K, LGA1151, 3.60 GHz, boxed
","369,90 
                                        ",,https://jimms.fi/fi/Product/Show/144789/bx80684i79700k/intel-coffee-lake-core-i7-9700k-lga1151-3_60-ghz-boxed
AMD,"
 Ryzen 3 3100, AM4, 3.6 GHz, 4-core
","114,90 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/161889/100-100000284box/amd-ryzen-3-3100-am4-3_6-ghz-4-core
Intel,"
 Coffee Lake Core i9-9900K, LGA1151, 3.60 GHz, boxed
","459,90 
                                        ",,https://jimms.fi/fi/Product/Show/144790/bx80684i99900k/intel-coffee-lake-core-i9-9900k-lga1151-3_60-ghz-boxed
AMD,"
 Ryzen 9 3900X, AM4, 3.8GHz, 12-core
","499,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/152218/100-100000023box/amd-ryzen-9-3900x-am4-3_8ghz-12-core
AMD,"
 Ryzen 7 2700X, AM4, 3.7 GHz, 8-core
","199,00 
                                        ","2. sukupolven Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/139588/yd270xbgafbox/amd-ryzen-7-2700x-am4-3_7-ghz-8-core
AMD,"
 Ryzen 5 3600XT, AM4, 3.8 GHz, 6-core
","269,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/163117/100-100000281box/amd-ryzen-5-3600xt-am4-3_8-ghz-6-core
AMD,"
 Ryzen 5 3400G, AM4, 3.7GHz, 4-Core, Boxed
","159,00 
                                        ",,https://jimms.fi/fi/Product/Show/152211/yd3400c5fhbox/amd-ryzen-5-3400g-am4-3_7ghz-4-core-boxed
Intel,"
 Core i9-10900K, LGA1200, 3.70 GHz, 20MB, Boxed
","569,90 
                                        ",,https://jimms.fi/fi/Product/Show/161269/bx8070110900k/intel-core-i9-10900k-lga1200-3_70-ghz-20mb-boxed
AMD,"
 Ryzen 5 3600X, AM4, 3.8 GHz, 6-core
","239,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/152214/100-100000022box/amd-ryzen-5-3600x-am4-3_8-ghz-6-core
AMD,"
 Ryzen 9 3950X, AM4, 3.5GHz, 16-core
","849,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/156265/100-100000051wof/amd-ryzen-9-3950x-am4-3_5ghz-16-core
Intel,"
 Core i7-10700KF, LGA1200, 3.80 GHz, 16MB, Boxed
","394,90 
                                        ",,https://jimms.fi/fi/Product/Show/161266/bx8070110700kf/intel-core-i7-10700kf-lga1200-3_80-ghz-16mb-boxed
AMD,"
 Ryzen 3 3200G, AM4, 3.6GHz, 4-Core, Boxed
","99,00 
                                        ",,https://jimms.fi/fi/Product/Show/152209/yd3200c5fhbox/amd-ryzen-3-3200g-am4-3_6ghz-4-core-boxed
Intel,"
 Core i5-10400F, LGA1200, 2.90 GHz, 12MB, Boxed
","174,90 
                                        ",,https://jimms.fi/fi/Product/Show/161257/bx8070110400f/intel-core-i5-10400f-lga1200-2_90-ghz-12mb-boxed
Intel,"
 Core i9-10850K, LGA1200, 3.60 GHz, 20MB, Boxed
","499,90 
                                        ",,https://jimms.fi/fi/Product/Show/163979/bx8070110850k/intel-core-i9-10850k-lga1200-3_60-ghz-20mb-boxed
Intel,"
 Core i9-10900KF, LGA1200, 3.70 GHz, 20MB, Boxed
","514,90 
                                        ",,https://jimms.fi/fi/Product/Show/161270/bx8070110900kf/intel-core-i9-10900kf-lga1200-3_70-ghz-20mb-boxed
AMD,"
 Ryzen 3 3300X, AM4, 3.8 GHz, 4-core
","139,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/161888/100-100000159box/amd-ryzen-3-3300x-am4-3_8-ghz-4-core
Intel,"
 Coffee Lake Core i5-9400F, LGA1151, 2.90 GHz, Boxed
","149,00 
                                        ","HUOM! F-sarjan Core -prosessorit eivät sisällä integroitua näytönohjainta!  
                                        ",https://jimms.fi/fi/Product/Show/148528/bx80684i59400f/intel-coffee-lake-core-i5-9400f-lga1151-2_90-ghz-boxed
AMD,"
 Ryzen 7 3800XT, AM4, 3.9GHz, 8-core
","409,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/163118/100-100000279wof/amd-ryzen-7-3800xt-am4-3_9ghz-8-core
AMD,"
 Ryzen 7 3800X, AM4, 3.9GHz, 8-core
","399,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/152217/100-100000025box/amd-ryzen-7-3800x-am4-3_9ghz-8-core
Intel,"
 Core i5-10600K - Marvel's Avengers Collector's Edition, LGA1200, 4.10 GHz, 12MB, Boxed
","289,90 
                                        ",,https://jimms.fi/fi/Product/Show/164140/bx8070110600ka/intel-core-i5-10600k-marvel-s-avengers-collector-s-edition-lga1200-4_10-ghz-12mb-boxed
AMD,"
 Ryzen Threadripper 3990X, sTRX4, 2.9GHz, 292MB, 64-core
","4 399,00 
                                        ","Äärimmäistä tehoa!  
                                        ",https://jimms.fi/fi/Product/Show/158301/100-100000163wof/amd-ryzen-threadripper-3990x-strx4-2_9ghz-292mb-64-core
