Brand,Product,Price,Description,Url
Noctua,"
 NH-D15 chromax.black -prosessorijäähdytin
","99,90 
                                        ","Nyt sitä saa! Täysmustaa Noctuaa!  
                                        ",https://jimms.fi/fi/Product/Show/155091/nh-d15-chromax-black/noctua-nh-d15-chromax-black-prosessorijaahdytin
Cooler Master,"
 Hyper 212 EVO -prosessorijäähdytin
","33,90 
                                        ","Tasapainoinen jäähdytysratkaisu prosessorillesi!  
                                        ",https://jimms.fi/fi/Product/Show/67551/rr-212e-16pk-r1/cooler-master-hyper-212-evo-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin NH-D15, LGA115x/2011(775/1366), AM2(+)/AM3(+)/AM4/FM1/FM2(+)
","84,90 
                                        ",,https://jimms.fi/fi/Product/Show/95981/nh-d15/noctua-prosessorijaahdytin-nh-d15-lga115x-2011-775-1366-am2-am3-am4-fm1-fm2
ARCTIC,"
 Freezer 34 -prosessorijäähdytin
","27,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla!  
                                        ",https://jimms.fi/fi/Product/Show/148480/acfre00052a/arctic-freezer-34-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin, NH-U12S, LGA/115x/2011/AM2(+)/AM3(+)/AM4/FM1/FM2*
","60,90 
                                        ",,https://jimms.fi/fi/Product/Show/79143/nh-u12s/noctua-prosessorijaahdytin-nh-u12s-lga-115x-2011-am2-am3-am4-fm1-fm2
Noctua,"
 NH-U12S chromax.black -prosessorijäähdytin
","69,90 
                                        ","Nyt sitä saa! Täysmustaa Noctuaa!  
                                        ",https://jimms.fi/fi/Product/Show/155092/nh-u12s-chromax-black/noctua-nh-u12s-chromax-black-prosessorijaahdytin
Raijintek,"
 LETO PRO -prosessorijäähdytin, musta/RGB
","42,90 
                                        ","Pidä suorittimesi lämmöt kurissa Raijintekin avulla! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/140440/0r100072/raijintek-leto-pro-prosessorijaahdytin-musta-rgb
Noctua,"
 NH-U12A -prosessorijäähdytin
","99,90 
                                        ","140mm suorituskyky 120mm koossa! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/150038/nh-u12a/noctua-nh-u12a-prosessorijaahdytin
Alpenföhn,"
 Ben Nevis Advanced -prosessorijäähdytin
","31,90 
                                        ","Pidä suorittimesi lämmöt aisoissa Alpenföhnin avustuksella! | 130mm  
                                        ",https://jimms.fi/fi/Product/Show/144880/84000000146/alpenfohn-ben-nevis-advanced-prosessorijaahdytin
ARCTIC,"
 Freezer 34 eSports DUO - White -prosessorijäähdytin
","39,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/148488/acfre00061a/arctic-freezer-34-esports-duo-white-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin NH-D15S, LGA115x/2011(-3)2066, AM2(+)/AM3(+)/AM4/FM1/FM2(+)
","77,00 
                                        ",,https://jimms.fi/fi/Product/Show/111797/nh-d15s/noctua-prosessorijaahdytin-nh-d15s-lga115x-2011-3-2066-am2-am3-am4-fm1-fm2
Scythe,"
 Mugen 5 Rev.B. prosessorijäähdytin
","49,90 
                                        ","Intel LGA775/115x/1366/2011(-v3), AMD FM1/FM2(+)/AM2(+)/AM3(+)/AM4  
                                        ",https://jimms.fi/fi/Product/Show/132168/scmg-5100/scythe-mugen-5-rev-b-prosessorijaahdytin
be quiet!,"
 Dark Rock Pro 4 -prosessorijäähdytin, musta
","86,90 
                                        ","Ei kompromisseja hiljaisuuden ja suorituskyvyn välillä! | 135mm + 120mm tuulettimet  
                                        ",https://jimms.fi/fi/Product/Show/141764/bk022/be-quiet-dark-rock-pro-4-prosessorijaahdytin-musta
Noctua,"
 Prosessorijäähdytin, NH-U14S, LGA/115x/2011/AM2(+)/AM3(+)/AM4/FM1/FM2*
","69,90 
                                        ",,https://jimms.fi/fi/Product/Show/79154/nh-u14s/noctua-prosessorijaahdytin-nh-u14s-lga-115x-2011-am2-am3-am4-fm1-fm2
ARCTIC,"
 Freezer 34 eSports DUO - Red -prosessorijäähdytin
","39,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/148487/acfre00060a/arctic-freezer-34-esports-duo-red-prosessorijaahdytin
be quiet!,"
 Pure Rock 2 Black -prosessorijäähdytin
","44,90 
                                        ","Hiljaista ja tehokasta jäähdytystä! | 1 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/162119/bk007/be-quiet-pure-rock-2-black-prosessorijaahdytin
Noctua,"
 NH-D15 SE-AM4 -prosessorijäähdytin, AMD AM4
","86,50 
                                        ","Noctuan avulla jäähdytät AMD AM4 -prosessorisi tehokkaasti!  
                                        ",https://jimms.fi/fi/Product/Show/127855/nh-d15-se-am4/noctua-nh-d15-se-am4-prosessorijaahdytin-amd-am4
ARCTIC,"
 Freezer 7 X CO, kompakti prosessorijäähdytin
","19,90 
                                        ","Freezer 7 Pro saa arvoisensa seuraajan! | 1 x 92mm  
                                        ",https://jimms.fi/fi/Product/Show/160953/acfre00085a/arctic-freezer-7-x-co-kompakti-prosessorijaahdytin
SilentiumPC,"
 Fera 3 HE1224 v2 -prosessorijäähdytin
","28,90 
                                        ","Intel LGA775/115x/1366/2011(-3), AMD AM2(+)/AM3(+)/AM4/FM1/FM2(+)  
                                        ",https://jimms.fi/fi/Product/Show/124305/spc144/silentiumpc-fera-3-he1224-v2-prosessorijaahdytin
Jonsbo,"
 CR-1200 -prosessorijäähdytin
","15,70 
                                        ","Selätä prosessorisi lämpömurheet Jonsbon avulla | 1 x 92mm  
                                        ",https://jimms.fi/fi/Product/Show/162182/cr-1200/jonsbo-cr-1200-prosessorijaahdytin
