Brand,Product,Price,Description,Url
Asus,"
 GeForce RTX 3080 TUF Gaming - OC Edition -näytönohjain, 10GB GDDR6X
","859,90 
                                        ","PCIe 4.0, 2xHDMI/3xDP - IO-Tech.fi Toimituksen valinta!  
                                        ",https://jimms.fi/fi/Product/Show/164677/tuf-rtx3080-o10g-gaming/asus-geforce-rtx-3080-tuf-gaming-oc-edition-naytonohjain-10gb-gddr6x
Gigabyte,"
 GeForce RTX 2060 D6 -näytönohjain, 6GB GDDR6 (Tarjous! Norm. 389€!)
","309,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/162815/gv-n2060d6-6gd/gigabyte-geforce-rtx-2060-d6-naytonohjain-6gb-gddr6-tarjous-norm-389
Asus,"
 GeForce RTX 3080 TUF Gaming -näytönohjain, 10GB GDDR6X
","829,90 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164678/tuf-rtx3080-10g-gaming/asus-geforce-rtx-3080-tuf-gaming-naytonohjain-10gb-gddr6x
MSI,"
 GeForce RTX 3080 GAMING X TRIO -näytönohjain, 10GB GDDR6X
","849,90 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164683/rtx-3080-gaming-x-trio-10g/msi-geforce-rtx-3080-gaming-x-trio-naytonohjain-10gb-gddr6x
Asus,"
 GeForce RTX 3080 ROG Strix - OC Edition -näytönohjain, 10GB GDDR6X
","949,90 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164725/rog-strix-rtx3080-o10g-gaming/asus-geforce-rtx-3080-rog-strix-oc-edition-naytonohjain-10gb-gddr6x
MSI,"
 GeForce RTX 3080 VENTUS 3X OC -näytönohjain, 10GB GDDR6X
","799,90 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164685/rtx-3080-ventus-3x-10g-oc/msi-geforce-rtx-3080-ventus-3x-oc-naytonohjain-10gb-gddr6x
Asus,"
 GeForce GTX 1660 Super - DUAL EVO OC Edition -näytönohjain, 6GB GDDR6
","259,90 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/155663/dual-gtx1660s-o6g-evo/asus-geforce-gtx-1660-super-dual-evo-oc-edition-naytonohjain-6gb-gddr6
PNY,"
 GeForce GTX 1660 Super XLR8 Gaming OC -näytönohjain, 6GB GDDR6 (Tarjous! Norm. 269€!)
","239,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/163598/vcg16606sdfmpb-o/pny-geforce-gtx-1660-super-xlr8-gaming-oc-naytonohjain-6gb-gddr6-tarjous-norm-269
PowerColor,"
 Radeon RX 580 Red Dragon OC -näytönohjain, 8GB GDDR5
","184,90 
                                        ","PCI-E 3.0, DVI/HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/151408/axrx580-8gbd5-3dhdv2-oc/powercolor-radeon-rx-580-red-dragon-oc-naytonohjain-8gb-gddr5
MSI,"
 GeForce RTX 2060 VENTUS XS OC -näytönohjain, 6GB GDDR6 (Tarjous! Norm. 359,90€!)
","329,90 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/148662/rtx-2060-ventus-xs-6g-oc/msi-geforce-rtx-2060-ventus-xs-oc-naytonohjain-6gb-gddr6-tarjous-norm-359_90
