Brand,Product,Price,Description,Url
Corsair,"
 750W RM750x (2018), modulaarinen virtalähde, 80 Plus Gold
","132,90 
                                        ","750W, 80 PLUS Gold -sertifioitu, täysmodulaarinen ATX-virtalähde  
                                        ",https://jimms.fi/fi/Product/Show/138764/cp-9020179-eu/corsair-750w-rm750x-2018-modulaarinen-virtalahde-80-plus-gold
Corsair,"
 750W RM750 (2019), modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","121,90 
                                        ","Virtalähdepuoli kuntoon Corsairin avulla!  
                                        ",https://jimms.fi/fi/Product/Show/151591/cp-9020195-eu/corsair-750w-rm750-2019-modulaarinen-atx-virtalahde-80-plus-gold-musta
Corsair,"
 650W RM650 (2019), modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","109,90 
                                        ","Virtalähdepuoli kuntoon Corsairin avulla!  
                                        ",https://jimms.fi/fi/Product/Show/151590/cp-9020194-eu/corsair-650w-rm650-2019-modulaarinen-atx-virtalahde-80-plus-gold-musta
Corsair,"
 850W RM850 (2019), modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","134,90 
                                        ","Virtalähdepuoli kuntoon Corsairin avulla!  
                                        ",https://jimms.fi/fi/Product/Show/151592/cp-9020196-eu/corsair-850w-rm850-2019-modulaarinen-atx-virtalahde-80-plus-gold-musta
Asus,"
 ROG Strix 750W, modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","142,90 
                                        ","Laadukasta ja viileää virtaa kokoonpanollesi toimittaa Asus!  
                                        ",https://jimms.fi/fi/Product/Show/153898/rog-strix-750g/asus-rog-strix-750w-modulaarinen-atx-virtalahde-80-plus-gold-musta
Corsair,"
 850W RM850x (2018), modulaarinen virtalähde, 80 PLUS Gold
","156,90 
                                        ","850W, 80 PLUS Gold -sertifioitu, täysmodulaarinen ATX-virtalähde  
                                        ",https://jimms.fi/fi/Product/Show/138766/cp-9020180-eu/corsair-850w-rm850x-2018-modulaarinen-virtalahde-80-plus-gold
Kolink,"
 700W Enclave 80 PLUS Gold virtalähde, modulaarinen
","83,90 
                                        ",,https://jimms.fi/fi/Product/Show/153654/kl-g700fm/kolink-700w-enclave-80-plus-gold-virtalahde-modulaarinen
Seasonic,"
 650W FOCUS GX-650, modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","99,90 
                                        ","Laadukkaat watit kokoonpanoosi Seasonicilta!  
                                        ",https://jimms.fi/fi/Product/Show/153201/focus-gx-650/seasonic-650w-focus-gx-650-modulaarinen-atx-virtalahde-80-plus-gold-musta
Asus,"
 ROG Strix 850W White Edition, modulaarinen ATX-virtalähde, 80 Plus Gold, valkoinen
","159,90 
                                        ","Koskemattoman viileää tehoa!  
                                        ",https://jimms.fi/fi/Product/Show/163274/90ye00a4-b0na00/asus-rog-strix-850w-white-edition-modulaarinen-atx-virtalahde-80-plus-gold-valkoinen
Seasonic,"
 650W S12III, ATX-virtalähde, 80 PLUS Bronze, musta
","69,90 
                                        ","Seasonic huolehtii kokoonpanosi virtatarpeista!  
                                        ",https://jimms.fi/fi/Product/Show/157564/4711173875185/seasonic-650w-s12iii-atx-virtalahde-80-plus-bronze-musta
Corsair,"
 650W RM650x (2018), modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","122,90 
                                        ","RMx -sarjan virtalähteet tarjoavat erinomaista hyötysuhdetta sekä hiljaista käyttöä!  
                                        ",https://jimms.fi/fi/Product/Show/142671/cp-9020178-eu/corsair-650w-rm650x-2018-modulaarinen-atx-virtalahde-80-plus-gold-musta
