Product,Price,Description,Url
"
Kingston 16GB (2 x 8GB) HyperX Fury, DDR4 3200MHz, CL16, 1.35V, musta
","81,90 
                                        ",,jimms.fi/fi/Product/Show/153519/hx432c16fb3k2-16/kingston-16gb-2-x-8gb-hyperx-fury-ddr4-3200mhz-cl16-1_35v-musta
"
Corsair 16GB (2 x 8GB) Vengeance LPX, DDR4 3200MHz, CL16, 1.35V
","71,90 
                                        ",,jimms.fi/fi/Product/Show/114695/cmk16gx4m2b3200c16/corsair-16gb-2-x-8gb-vengeance-lpx-ddr4-3200mhz-cl16-1_35v
"
Kingston 32GB (2x16GB) HyperX Fury, DDR4 3200MHz, CL16, 1.35V, musta
","139,90 
                                        ",,jimms.fi/fi/Product/Show/153618/hx432c16fb3k2-32/kingston-32gb-2x16gb-hyperx-fury-ddr4-3200mhz-cl16-1_35v-musta
"
G.Skill 16GB (2x8GB), Ripjaws V, DDR4 3200MHz, CL16
","73,00 
                                        ",,jimms.fi/fi/Product/Show/115204/f4-3200c16d-16gvkb/g-skill-16gb-2x8gb-ripjaws-v-ddr4-3200mhz-cl16
"
Corsair 16GB (2 x 8GB) Vengeance RGB PRO, DDR4 3200MHz, CL16, 1.35V, musta
","95,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/142702/cmw16gx4m2c3200c16/corsair-16gb-2-x-8gb-vengeance-rgb-pro-ddr4-3200mhz-cl16-1_35v-musta
"
G.Skill 32GB (2 x 16GB) Trident Z Neo DDR4 3600MHz, CL16, 1.35V, musta/hopea
","219,90 
                                        ","AMD Ryzen 3000 -sarjan prosessoreille ja AMD X570 -piirisarjan emolevyille optimoitu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/152671/f4-3600c16d-32gtznc/g-skill-32gb-2-x-16gb-trident-z-neo-ddr4-3600mhz-cl16-1_35v-musta-hopea
"
G.Skill 32GB (2 x 16GB) Ripjaws V, DDR4 3200MHz, CL16, 1.35V, musta
","139,90 
                                        ","Tunne Ripjaws V -sarjan vauhti!  
                                        ",jimms.fi/fi/Product/Show/136084/f4-3200c16d-32gvk/g-skill-32gb-2-x-16gb-ripjaws-v-ddr4-3200mhz-cl16-1_35v-musta
"
G.Skill 16GB (2 x 8GB) Trident Z RGB, DDR4 3200MHz, CL16, 1.35V
","102,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/127080/f4-3200c16d-16gtzr/g-skill-16gb-2-x-8gb-trident-z-rgb-ddr4-3200mhz-cl16-1_35v
"
Corsair 16GB (2 x 8GB) Vengeance LPX, DDR4 3600MHz, CL18, 1.35V, musta
","82,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/152632/cmk16gx4m2d3600c18/corsair-16gb-2-x-8gb-vengeance-lpx-ddr4-3600mhz-cl18-1_35v-musta
"
G.Skill 16GB (2 x 8GB) Ripjaws V, DDR4 3600 MHz, CL16, 1.35V, musta
","124,90 
                                        ","Tunne Ripjaws V -sarjan vauhti!  
                                        ",jimms.fi/fi/Product/Show/135085/f4-3600c16d-16gvk/g-skill-16gb-2-x-8gb-ripjaws-v-ddr4-3600-mhz-cl16-1_35v-musta
"
Corsair 32GB (2 x 16GB) Vengeance LPX, DDR4 3200MHz, CL16, 1.35V, musta
","149,90 
                                        ",,jimms.fi/fi/Product/Show/118684/cmk32gx4m2b3200c16/corsair-32gb-2-x-16gb-vengeance-lpx-ddr4-3200mhz-cl16-1_35v-musta
"
Corsair 16GB (2 x 8GB) Vengeance RGB PRO, DDR4 3200MHz, CL16, 1.35V, valkoinen
","99,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/142703/cmw16gx4m2c3200c16w/corsair-16gb-2-x-8gb-vengeance-rgb-pro-ddr4-3200mhz-cl16-1_35v-valkoinen
"
G.Skill 16GB (2 x 8GB) Trident Z Neo DDR4 3600MHz, CL16, 1.35V, musta/hopea
","139,90 
                                        ","AMD Ryzen 3000 -sarjan prosessoreille ja AMD X570 -piirisarjan emolevyille optimoitu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/152616/f4-3600c16d-16gtznc/g-skill-16gb-2-x-8gb-trident-z-neo-ddr4-3600mhz-cl16-1_35v-musta-hopea
"
G.Skill 32GB (2 x 16GB) Trident Z RGB, DDR4 3200MHz, CL16, 1.35V
","172,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/145740/f4-3200c16d-32gtzr/g-skill-32gb-2-x-16gb-trident-z-rgb-ddr4-3200mhz-cl16-1_35v
"
Corsair 8GB (1 x 8GB) Value Select, DDR4 2400MHz, CL16, 1.20V
","39,90 
                                        ",,jimms.fi/fi/Product/Show/130013/cmv8gx4m1a2400c16/corsair-8gb-1-x-8gb-value-select-ddr4-2400mhz-cl16-1_20v
"
G.Skill 16GB (2 x 8GB) Trident Z RGB (For AMD), DDR4 3600MHz, CL18, 1.35V, musta
","107,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/152242/f4-3600c18d-16gtzrx/g-skill-16gb-2-x-8gb-trident-z-rgb-for-amd-ddr4-3600mhz-cl18-1_35v-musta
"
G.Skill 32GB (2 x 16GB) Ripjaws V, DDR4 3600 MHz, CL16, 1.35V, musta
","180,00 
                                        ","Tunne Ripjaws V -sarjan vauhti!  
                                        ",jimms.fi/fi/Product/Show/164578/f4-3600c16d-32gvkc/g-skill-32gb-2-x-16gb-ripjaws-v-ddr4-3600-mhz-cl16-1_35v-musta
"
Gigabyte 16GB (2 x 8GB) AORUS RGB Memory, DDR4 3200MHz, CL16, 1.35V (Tarjous! Norm. 139€!)
","99,90 
                                        ","Näyttävää muistia kokoonpanoosi Gigabyteltä!  
                                        ",jimms.fi/fi/Product/Show/161884/gp-ar32c16s8k2hu416r/gigabyte-16gb-2-x-8gb-aorus-rgb-memory-ddr4-3200mhz-cl16-1_35v-tarjous-norm-139
"
Kingston 16GB (2 x 8GB) HyperX Predator, DDR4 3200MHz, CL16, 1.35V
","83,00 
                                        ",,jimms.fi/fi/Product/Show/127397/hx432c16pb3k2-16/kingston-16gb-2-x-8gb-hyperx-predator-ddr4-3200mhz-cl16-1_35v
"
G.Skill 16GB (2 x 8GB) Sniper X, DDR4 3200MHz, CL16, 1.35V, musta/urban camo
","82,00 
                                        ","Muistien täsmäisku!  
                                        ",jimms.fi/fi/Product/Show/151526/f4-3200c16d-16gsxwb/g-skill-16gb-2-x-8gb-sniper-x-ddr4-3200mhz-cl16-1_35v-musta-urban-camo
"
Corsair 32GB (2 x 16GB) Vengeance LPX, DDR4 3600MHz, CL18, 1.35V, musta
","159,90 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/158402/cmk32gx4m2z3600c18/corsair-32gb-2-x-16gb-vengeance-lpx-ddr4-3600mhz-cl18-1_35v-musta
"
Corsair 16GB (2 x 8GB) Vengeance RGB PRO, DDR4 3000MHz, CL15, 1.35V, musta
","79,90 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/142708/cmw16gx4m2c3000c15/corsair-16gb-2-x-8gb-vengeance-rgb-pro-ddr4-3000mhz-cl15-1_35v-musta
"
Corsair 16GB (2 x 8GB) Vengeance RGB PRO, DDR4 3600MHz, CL18, 1.35V, musta
","102,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/153130/cmw16gx4m2z3600c18/corsair-16gb-2-x-8gb-vengeance-rgb-pro-ddr4-3600mhz-cl18-1_35v-musta
"
G.Skill 32GB (2 x 16GB) Trident Z Neo DDR4 3600MHz, CL16, 1.35V, musta/hopea
","291,00 
                                        ","AMD Ryzen 3000 -sarjan prosessoreille ja AMD X570 -piirisarjan emolevyille optimoitu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/152668/f4-3600c16d-32gtzn/g-skill-32gb-2-x-16gb-trident-z-neo-ddr4-3600mhz-cl16-1_35v-musta-hopea
"
Kingston 16GB (2x8GB) HyperX Fury, DDR4 2666MHz, CL16, 1.2V, musta
","77,00 
                                        ",,jimms.fi/fi/Product/Show/153598/hx426c16fb3k2-16/kingston-16gb-2x8gb-hyperx-fury-ddr4-2666mhz-cl16-1_2v-musta
"
G.Skill 16GB (2 x 8GB) Flare X (for AMD), DDR4 3200 MHz, CL14, 1.35V, musta
","123,00 
                                        ","Legendaarisen AMD Performance -sarjan uudelleensyntymä!  
                                        ",jimms.fi/fi/Product/Show/128689/f4-3200c14d-16gfx/g-skill-16gb-2-x-8gb-flare-x-for-amd-ddr4-3200-mhz-cl14-1_35v-musta
"
Kingston 16GB (2x8GB) HyperX Fury, DDR3 1600MHz, CL10, 1.5V, musta
","85,00 
                                        ",,jimms.fi/fi/Product/Show/95962/hx316c10fbk2-16/kingston-16gb-2x8gb-hyperx-fury-ddr3-1600mhz-cl10-1_5v-musta
"
Corsair 32GB (2 x 16GB) Vengeance RGB PRO, 3200MHz, CL16, 1.35V, valkoinen
","166,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/144939/cmw32gx4m2c3200c16w/corsair-32gb-2-x-16gb-vengeance-rgb-pro-3200mhz-cl16-1_35v-valkoinen
"
G.Skill 16GB (2 x 8GB) Trident Z RGB, DDR4 3600MHz, CL16, 1.35V
","158,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/127082/f4-3600c16d-16gtzr/g-skill-16gb-2-x-8gb-trident-z-rgb-ddr4-3600mhz-cl16-1_35v
"
Kingston 16GB (2 x 8GB) HyperX Predator RGB, DDR4 3200MHz, CL16, musta
","97,00 
                                        ","Metsästä saalistasi tyrmäävän upean RGB-tyylin siivittämänä!  
                                        ",jimms.fi/fi/Product/Show/148825/hx432c16pb3ak2-16/kingston-16gb-2-x-8gb-hyperx-predator-rgb-ddr4-3200mhz-cl16-musta
"
Kingston 8GB (2x4GB) HyperX Fury, DDR4 3200MHz, CL16, 1.35V, musta
","52,00 
                                        ",,jimms.fi/fi/Product/Show/153613/hx432c16fb3k2-8/kingston-8gb-2x4gb-hyperx-fury-ddr4-3200mhz-cl16-1_35v-musta
"
Kingston 16GB (2x8GB) HyperX Fury, DDR3 1866MHz, CL10, 1.5V, musta
","86,00 
                                        ",,jimms.fi/fi/Product/Show/96012/hx318c10fbk2-16/kingston-16gb-2x8gb-hyperx-fury-ddr3-1866mhz-cl10-1_5v-musta
"
Corsair 16GB (2x8GB) Vengeance LPX Black, DDR4 3000MHz, 1.35V, CL15
","86,00 
                                        ",,jimms.fi/fi/Product/Show/116892/cmk16gx4m2b3000c15/corsair-16gb-2x8gb-vengeance-lpx-black-ddr4-3000mhz-1_35v-cl15
"
Corsair 8GB (2 x 4GB) Vengeance LPX, DDR4 3000MHz, CL16, 1.35V, musta
","47,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/153113/cmk8gx4m2c3000c16/corsair-8gb-2-x-4gb-vengeance-lpx-ddr4-3000mhz-cl16-1_35v-musta
"
Kingston 16GB (2x8GB) HyperX Fury RGB, DDR4 3200MHz, CL16, 1.35V, musta
","84,00 
                                        ","Päästä tyylisi valloilleen. Päästä FURY-tyyli valloilleen.  
                                        ",jimms.fi/fi/Product/Show/153868/hx432c16fb3ak2-16/kingston-16gb-2x8gb-hyperx-fury-rgb-ddr4-3200mhz-cl16-1_35v-musta
"
Kingston 8GB (2x4GB) HyperX Fury, DDR3 1600MHz, CL10, 1.5V, musta
","50,00 
                                        ",,jimms.fi/fi/Product/Show/95833/hx316c10fbk2-8/kingston-8gb-2x4gb-hyperx-fury-ddr3-1600mhz-cl10-1_5v-musta
"
Corsair 8GB (1 x 8GB), DDR4 2133MHz, CL15, 1.20V
","42,00 
                                        ",,jimms.fi/fi/Product/Show/110214/cmv8gx4m1a2133c15/corsair-8gb-1-x-8gb-ddr4-2133mhz-cl15-1_20v
"
G.Skill 32GB (4 x 8GB) Trident Z Neo DDR4 3600MHz, CL16, 1.35V, musta/hopea
","248,00 
                                        ","AMD Ryzen 3000 -sarjan prosessoreille ja AMD X570 -piirisarjan emolevyille optimoitu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/152670/f4-3600c16q-32gtznc/g-skill-32gb-4-x-8gb-trident-z-neo-ddr4-3600mhz-cl16-1_35v-musta-hopea
